[10-16-2019 | 18:02:19] [INFO] Server loaded. Type 'help' for help.
[10-16-2019 | 18:02:28] [ERR!] Invalid command. Type 'help' for help.
[10-16-2019 | 18:03:15] [INFO] Commands:
[10-16-2019 | 18:03:15] [INFO]    help - Displays this command list.
[10-16-2019 | 18:03:15] [INFO]    version - Displays server version info.
[10-16-2019 | 18:03:15] [INFO]    exit - Exit the server application.
[10-16-2019 | 18:03:15] [INFO]    stop - Stop hosting the server.
[10-16-2019 | 18:03:15] [INFO]    host <mapname> [mode] - Open the server with a specific map.
[10-16-2019 | 18:03:15] [INFO]    port [port] - Sets or displays the port for hosting the server.
[10-16-2019 | 18:03:15] [INFO]    maps - Display all available maps.
[10-16-2019 | 18:03:15] [INFO]    reloadmaps - Reload all maps from disk.
[10-16-2019 | 18:03:15] [INFO]    status - Display server status.
[10-16-2019 | 18:03:15] [INFO]    plugins - Display all loaded plugins.
[10-16-2019 | 18:03:15] [INFO]    plugin <name...> - Display information about a loaded plugin.
[10-16-2019 | 18:03:15] [INFO]    say <message...> - Send a message to all players.
[10-16-2019 | 18:03:15] [INFO]    difficulty <difficulty> - Set game difficulty.
[10-16-2019 | 18:03:15] [INFO]    fillitems [team] - Fill the core with items.
[10-16-2019 | 18:03:15] [INFO]    name [name...] - Change the server display name.
[10-16-2019 | 18:03:15] [INFO]    playerlimit [off/somenumber] - Set the server player limit.
[10-16-2019 | 18:03:15] [INFO]    whitelist [on/off...] - Enable/disable whitelisting.
[10-16-2019 | 18:03:15] [INFO]    whitelisted - List the entire whitelist.
[10-16-2019 | 18:03:15] [INFO]    whitelist-add <ID> - Add a player to the whitelist by ID.
[10-16-2019 | 18:03:15] [INFO]    whitelist-remove <ID> - Remove a player to the whitelist by ID.
[10-16-2019 | 18:03:15] [INFO]    crashreport <on/off> - Disables or enables automatic crash reporting
[10-16-2019 | 18:03:15] [INFO]    logging <on/off> - Disables or enables server logs
[10-16-2019 | 18:03:15] [INFO]    strict <on/off> - Disables or enables strict mode
[10-16-2019 | 18:03:15] [INFO]    socketinput [on/off] - Disables or enables a local TCP socket at port 6859 to recieve commands from other applications
[10-16-2019 | 18:03:15] [INFO]    allow-custom-clients [on/off] - Allow or disallow custom clients.
[10-16-2019 | 18:03:15] [INFO]    shuffle <on/off> - Set map shuffling.
[10-16-2019 | 18:03:15] [INFO]    kick <username...> - Kick a person by name.
[10-16-2019 | 18:03:15] [INFO]    ban <type-id/name/ip> <username/IP/ID...> - Ban a person.
[10-16-2019 | 18:03:15] [INFO]    bans - List all banned IPs and IDs.
[10-16-2019 | 18:03:15] [INFO]    unban <ip/ID> - Completely unban a person by IP or ID.
[10-16-2019 | 18:03:15] [INFO]    admin <username...> - Make an online user admin
[10-16-2019 | 18:03:15] [INFO]    unadmin <username...> - Removes admin status from an online player
[10-16-2019 | 18:03:15] [INFO]    admins - List all admins.
[10-16-2019 | 18:03:15] [INFO]    runwave - Trigger the next wave.
